,area,name,num,class0,class1,class2
280,zyq,walk_1.0_A.csv,49,0.32653061224489793,0.30612244897959184,0.3673469387755102
281,zyq,walk_3.0_A.csv,46,0.9130434782608695,0.043478260869565216,0.043478260869565216
282,zyq,walk_5.0_A.csv,5,1.0,0.0,0.0
283,zyq2,dig_0.0_B.csv,0,0.0,0.0,0.0
284,zyq2,dig_1.0_B.csv,49,0.8775510204081632,0.0,0.12244897959183673
285,zyq2,dig_3.0_B.csv,49,1.0,0.0,0.0
286,zyq2,dig_5.0_B.csv,47,0.851063829787234,0.0,0.14893617021276595
287,zyq2,jump_0.0_B.csv,32,0.15625,0.84375,0.0
288,zyq2,jump_1.0_B.csv,29,0.20689655172413793,0.7931034482758621,0.0
289,zyq2,jump_3.0_B.csv,29,0.41379310344827586,0.5862068965517241,0.0
290,zyq2,jump_5.0_B.csv,23,0.391304347826087,0.4782608695652174,0.13043478260869565
291,zyq2,walk_0.0_B.csv,49,0.08163265306122448,0.0,0.9183673469387755
292,zyq2,walk_1.0_B.csv,49,0.12244897959183673,0.0,0.8775510204081632
293,zyq2,walk_3.0_B.csv,49,0.8979591836734694,0.0,0.10204081632653061
294,zyq2,walk_5.0_B.csv,32,0.84375,0.0,0.15625
